Reference code	Original Reference No	Location code	Title	Other title 1	Other title 2	Other title 3	Other title 4	Creator	Date (start) YYYY	start confirm	Date (end) YYYY	end confirm	Level of description	Extent	Medium	Language	Administrative history	Content	Condition governing access	Related unit(s) of description	Other notes	Internal only notes	Complete or not	Status review required	Date of collection	Source	Acquisition method	Material type	Record disclosure counter	Condition	Archivist's remarks	Archival history	Conservation related issues	Master reference code	Name & Subject	Important item(s)
SEK-6-001	A.7-A-1	D01/01	Alaska Enterprises 1						1959		1970			2	folder(s)	Eng		Alaska Enterprises was incorporated in 1959 as a commercial property investment company. The company owned real estate in Anchorage, Alaska which was managed by a local operator. Files contain annual meeting minutes, audited accounts and correspondence between founding partners Lasala Investments, Lawrence Kadoorie and Horace Kadoorie, Ragnvald Reirtsen, Charles Gow Smith and Sir Sidney Gordon. The company was dissolved in 2002.	1				FALSE	FALSE		SGB 24F			1970						Alaska Enterprises	
SEK-6-002	A.7-A-2	D01/01	Alaska Enterprises 2						1971		1976			1	folder(s)	Eng		Alaska Enterprises was incorporated in 1959 as a commercial property investment company. The company owned real estate in Anchorage, Alaska which was managed by a local operator. Files contain annual meeting minutes, audited accounts and correspondence between founding partners Lasala Investments, Lawrence Kadoorie and Horace Kadoorie, Ragnvald Reirtsen, Charles Gow Smith and Sir Sidney Gordon. The company was dissolved in 2002.	1				FALSE	FALSE		SGB 24F			1976						Alaska Enterprises	
SEK-6-003	A.7-A-3	D01/02	Alaska Enterprises 3						1976		1983			2	folder(s)	Eng		Alaska Enterprises was incorporated in 1959 as a commercial property investment company. The company owned real estate in Anchorage, Alaska which was managed by a local operator. Files contain annual meeting minutes, audited accounts and correspondence between founding partners Lasala Investments, Lawrence Kadoorie and Horace Kadoorie, Ragnvald Reirtsen, Charles Gow Smith and Sir Sidney Gordon. The company was dissolved in 2002.	2				FALSE	FALSE		SGB 24F			1983						Alaska Enterprises	
SEK-6-004	A.7-A-4	D01/02	Alaska Enterprises 4						1984		1988			2	folder(s)	Eng		Alaska Enterprises was incorporated in 1959 as a commercial property investment company. The company owned real estate in Anchorage, Alaska which was managed by a local operator. Files contain annual meeting minutes, audited accounts and correspondence between founding partners Lasala Investments, Lawrence Kadoorie and Horace Kadoorie, Ragnvald Reirtsen, Charles Gow Smith and Sir Sidney Gordon. The company was dissolved in 2002.	2				FALSE	FALSE		SGB 24F			1988						Alaska Enterprises	
SEK-6-005	C.13-A-1	D01/02	Continental Mercantile Limited						1953					1	folder(s)	Eng		Continental Mercentile, Ltd. was a proposed partnership between Horace Kadoorie and Isaac Hazan to restructure a dormant company in Japan (Continental Construction Co., Ltd.) into a trading company to import and export consumer goods, especially textiles. The file contains correspondence between Lawrence Kadoorie, Horace Kadoorie, and Isaac Hazan.	1				FALSE	FALSE												
SEK-6-006	D.7-A-1	D01/03	Devonia Finance & Investment						1961		1980			2	folder(s)	Eng		Devonia Finance & Investment Co., Ltd. was formed in 1952 in Hong Kong. Its core business was to provide loans and financing to trading companies including Far East Commodities & Trading Co., Ltd. and Raphaely Trading (UK), Ltd. Additionally, the company's wholly owned subsidiary Leo Raphaely & Sons (Acct) Pty. provided financing to Southeast Asian ventures. Directors of the company included Lawrence Kadoorie, Horace Kadoorie, William Grimsdale, Sidney Gordon, Jerome Raphaely, and K.J. Rankin-Moore. FIles contain contain administrative correspondence, annual reports, and audited accounts.	2				FALSE	FALSE		SGB 24F			1980						obsolete investment	
SEK-6-007	D.7-A-2	D01/03	Devonia Finance & Investment						1981		1987			1	folder(s)	Eng		Devonia Finance & Investment Co., Ltd. was formed in 1952 in Hong Kong. Its core business was to provide loans and financing to trading companies including Far East Commodities & Trading Co., Ltd. and Raphaely Trading (UK), Ltd. Additionally, the company's wholly owned subsidiary Leo Raphaely & Sons (Acct) Pty. provided financing to Southeast Asian ventures. Directors of the company included Lawrence Kadoorie, Horace Kadoorie, William Grimsdale, Sidney Gordon, Jerome Raphaely, and K.J. Rankin-Moore. FIles contain contain administrative correspondence, annual reports, and audited accounts.	2				FALSE	FALSE		SGB 24F			1987						obsolete investment	
SEK-6-008	E.6-B-1	D03/15	Construction in Ethiopia 1						1957		1958			1	folder(s)	Eng		Through  a close connection with the Emperor of Ethiopia, Haile Selassie, the Kadoories became interested in bidding for construction projects in Ethiopia. The plan was to partner with Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. to bid for projects Ethiopia. The file contains correspondence between the Kadoories and Roy Pomeroy regarding bids for projects including a highway, an airport, and a dam at the Blue Nile Gorge. 	1				FALSE	FALSE		SGB 22F			1958						Other personal affairs?	
SEK-6-009	E.6-B-2	D03/15	Construction in Ethiopia 2						1958		1960			1	folder(s)	Eng		Through  a close connection with the Emperor of Ethiopia, Haile Selassie, the Kadoories became interested in bidding for construction projects in Ethiopia. The plan was to partner with Hawaiian Dredging and Construction and Pomeroy & Co., Ltd. to bid for projects Ethiopia. The file contains correspondence between the Kadoories and Roy Pomeroy regarding bids for projects including a highway, an airport, and a dam at the Blue Nile Gorge. 	1				FALSE	FALSE		SGB 22F									Other personal affairs?	
SEK-6-010	G.2-A-16	D01/03	Gasco Investments	British Shanghai Gas Company (old)	______(_)				1959		1975			1	folder(s)	Eng		In 1976, Shanghai Gas Co., Ltd. became a subsidiary of Hongkong Engineering and Construction Co., Ltd. The company subsequently changed its name to Gasco Investments, Ltd. and served as a property development company. This file contains annual reports from the Shanghai Gas Co., Ltd., a report of the directors, and notices of files sent to be stored at Registered Offices, Ltd. in 1960.	1				FALSE	FALSE		SGB 24F			1975						Gasco Investments (British Shanghai Gas Company)	
SEK-6-011	G.2-E-1	D01/03	Gasco Investments	British Shanghai Gas Company (old)	______(_)				1976		1978			2	folder(s)	Eng		In 1976, Shanghai Gas Co., Ltd. became a subsidiary of Hongkong Engineering and Construction Co., Ltd. The company subsequently changed its name to Gasco Investments, Ltd. and served as a property development company. This file contains reports of the directors and meeting notes, as well as documentation relating to the companies property investments.	1				FALSE	FALSE		SGB 24F			1978						Gasco Investments (British Shanghai Gas Company)	
SEK-6-012	BS5	D03/16	British Shanghai Gas Company - statistical information concerning world production of electricity	______					1935		1938			1	folder(s)	Eng		The Shanghai Gas Co., Ltd. was formed in 1865 to provide gas lighting to Shanghai. The Kadoories were a major stakeholder since the early 1900s and served on the board of directors. This file contains hand-drawn graphs and charts regarding the production of electricity. It also contains financial results of the company from 1930 - 1935. Additionally, information collected from competitor businesses for use by the Shanghai Gas Co., Ltd. are included in this file. 	1				FALSE	FALSE		SGB 22F			1938							
SEK-6-013	ES4	D03/16	British Shanghai Gas Company	______					1940					1	folder(s)	Eng		The Shanghai Gas Co., Ltd. was formed in 1865 to provide gas lighting to Shanghai. The Kadoories were a major stakeholder since the early 1900s and served on the board of directors. This file contains management decisions regarding employees salaries, a workers strike, and other administrative matters. 	1				FALSE	FALSE		SGB 22F			1940						Gasco Investments (British Shanghai Gas Company)	
